date,adj_close
1/2/1984,164.93
1/3/1984,164.04
1/4/1984,166.78
1/5/1984,168.81
1/6/1984,169.28
1/9/1984,168.9
1/10/1984,167.95
1/11/1984,167.79
1/12/1984,167.75
1/13/1984,167.02
1/16/1984,167.18
1/17/1984,167.83
1/18/1984,167.55
1/19/1984,167.04
1/20/1984,166.21
1/23/1984,164.87
1/24/1984,165.94
1/25/1984,164.84
1/26/1984,164.24
1/27/1984,163.94
1/30/1984,162.87
1/31/1984,163.41
2/1/1984,162.74
2/2/1984,163.36
2/3/1984,160.91
2/6/1984,158.08
2/7/1984,158.74
2/8/1984,155.85
2/9/1984,155.42
2/10/1984,156.3
2/13/1984,154.95
2/14/1984,156.61
2/15/1984,156.25
2/16/1984,156.13
2/17/1984,155.74
2/20/1984,155.74
2/21/1984,154.64
2/22/1984,154.31
2/23/1984,154.29
2/24/1984,157.51
2/27/1984,159.3
2/28/1984,156.82
2/29/1984,156.82
3/1/1984,158.19
3/2/1984,159.24
3/5/1984,157.89
3/6/1984,156.25
3/7/1984,154.57
3/8/1984,155.19
3/9/1984,154.35
3/12/1984,156.34
3/13/1984,156.78
3/14/1984,156.77
3/15/1984,157.41
3/16/1984,159.27
3/19/1984,157.78
3/20/1984,158.86
3/21/1984,158.66
3/22/1984,156.69
3/23/1984,156.86
3/26/1984,156.97
3/27/1984,157.3
3/28/1984,159.88
3/29/1984,159.52
3/30/1984,159.18
4/2/1984,157.98
4/3/1984,157.6
4/4/1984,157.54
4/5/1984,155.04
4/6/1984,155.48
4/9/1984,155.45
4/10/1984,155.87
4/11/1984,155
4/12/1984,157.73
4/13/1984,157.31
4/16/1984,158.32
4/17/1984,158.97
4/18/1984,157.9
4/19/1984,158.02
4/20/1984,158.02
4/23/1984,156.8
4/24/1984,158.07
4/25/1984,158.65
4/26/1984,160.34
4/27/1984,159.89
4/30/1984,160.05
5/1/1984,161.68
5/2/1984,161.9
5/3/1984,161.2
5/4/1984,159.11
5/7/1984,159.47
5/8/1984,160.52
5/9/1984,160.11
5/10/1984,160
5/11/1984,158.49
5/14/1984,157.5
5/15/1984,158
5/16/1984,157.99
5/17/1984,156.06
5/18/1984,155.78
5/21/1984,154.73
5/22/1984,153.88
5/23/1984,153.15
5/24/1984,151.23
5/25/1984,151.62
5/28/1984,151.62
5/29/1984,150.29
5/30/1984,150.35
5/31/1984,150.55
6/1/1984,153.24
6/4/1984,154.34
6/5/1984,153.65
6/6/1984,155.01
6/7/1984,154.92
6/8/1984,155.17
6/11/1984,153.06
6/12/1984,152.19
6/13/1984,152.13
6/14/1984,150.39
6/15/1984,149.03
6/18/1984,151.73
6/19/1984,152.61
6/20/1984,154.84
6/21/1984,154.51
6/22/1984,154.46
6/25/1984,153.97
6/26/1984,152.71
6/27/1984,151.64
6/28/1984,152.84
6/29/1984,153.18
7/2/1984,153.2
7/3/1984,153.7
7/4/1984,153.7
7/5/1984,152.76
7/6/1984,152.24
7/9/1984,153.36
7/10/1984,152.89
7/11/1984,150.56
7/12/1984,150.03
7/13/1984,150.88
7/16/1984,151.6
7/17/1984,152.38
7/18/1984,151.4
7/19/1984,150.37
7/20/1984,149.55
7/23/1984,148.95
7/24/1984,147.82
7/25/1984,148.83
7/26/1984,150.08
7/27/1984,151.19
7/30/1984,150.19
7/31/1984,150.66
8/1/1984,154.08
8/2/1984,157.99
8/3/1984,162.37
8/6/1984,162.6
8/7/1984,163.55
8/8/1984,161.75
8/9/1984,165.54
8/10/1984,165.42
8/13/1984,165.43
8/14/1984,164.42
8/15/1984,162.8
8/16/1984,163.77
8/17/1984,164.14
8/20/1984,164.94
8/21/1984,167.83
8/22/1984,167.06
8/23/1984,167.12
8/24/1984,167.51
8/27/1984,166.44
8/28/1984,167.4
8/29/1984,167.09
8/30/1984,166.6
8/31/1984,166.68
9/3/1984,166.68
9/4/1984,164.88
9/5/1984,164.29
9/6/1984,165.65
9/7/1984,164.37
9/10/1984,164.26
9/11/1984,164.45
9/12/1984,164.68
9/13/1984,167.94
9/14/1984,168.78
9/17/1984,168.87
9/18/1984,167.65
